lake_id,lake_name,lake_area (m2),lake_elevation (m),lake_juris_name,lake_max_depth (m),lake_utm_east,lake_utm_north,survey_date,benthic_sample,fish_presence,max_survey_date,ramurasi
70356,,17033,2749,YOSEMITE,5.5,276590,4218470,8/20/00,Yes,Yes,7/10/14,No
70381,,19177,2134,YOSEMITE,8.75,253823,4216070,7/13/00,Yes,No,8/8/13,Yes
70390,,19983,3042,YOSEMITE,2.25,295166,4171490,8/7/01,Yes,No,7/31/14,No
70392,"GRANT LAKE, LOWER",20062,2822,YOSEMITE,7,276706,4196270,6/21/00,Yes,Yes,6/21/00,No
70393,,20350,1786,YOSEMITE,4.9,255044,4213320,8/19/00,Yes,No,8/19/00,No
70394,HARRIET LAKE #2,20408,3103,YOSEMITE,6,295942,4171530,8/7/01,Yes,Yes,7/31/14,No
70395,,20459,2294,YOSEMITE,20.25,265508,4213550,9/11/00,Yes,No,9/11/00,No
70396,,20544,2097,YOSEMITE,3.5,254043,4215400,7/14/00,Yes,Yes,9/8/07,Yes
70398,,21019,2219,YOSEMITE,4.25,262951,4210820,9/9/00,Yes,No,9/9/00,No
70399,,21066,2283,YOSEMITE,13.9,254691,4218810,7/8/00,Yes,No,8/8/13,Yes
70400,,21183,2237,YOSEMITE,8.4,255962,4217310,7/27/00,Yes,No,7/1/06,Yes
70402,,21310,2459,YOSEMITE,3.1,257606,4219190,7/30/00,Yes,No,7/3/06,Yes
70407,MURDOCK LAKE,21865,2903,YOSEMITE,3.25,280036,4209100,8/29/00,Yes,No,8/29/00,No
70408,,21978,2747,YOSEMITE,6,279368,4198640,6/20/00,Yes,Yes,6/20/00,No
70411,,22132,2515,YOSEMITE,11.5,272449,4214780,8/23/00,Yes,No,8/23/00,No
70413,,22555,3322,YOSEMITE,10.5,299001,4177160,8/21/01,Yes,No,8/30/17,Yes
70414,MCGEE LAKE,22582,2471,YOSEMITE,3.8,286333,4197750,7/12/01,Yes,No,8/6/12,Yes
70415,TEN LAKES #3,22664,2750,YOSEMITE,5,277538,4197880,6/20/00,Yes,Yes,6/20/00,No
70416,"YOUNG LAKE, MIDDLE",22684,3042,YOSEMITE,6,294408,4201440,9/10/00,Yes,Yes,8/21/12,No
70418,SURPRISE LAKE,22714,2857,YOSEMITE,27,281540,4211200,8/10/00,Yes,No,8/10/00,No
70420,,22781,3304,YOSEMITE,5.25,296646,4182650,8/27/01,Yes,Yes,8/27/01,No
70425,HARRIET LAKE #1,23067,3011,YOSEMITE,5.25,295456,4173860,8/9/01,Yes,No,8/9/01,No
70428,,23621,3072,YOSEMITE,10,278611,4223870,8/18/00,Yes,No,8/18/00,No
70434,,24199,2199,YOSEMITE,9.5,270111,4210330,7/8/00,Yes,No,7/8/00,No
70435,,24234,3200,YOSEMITE,1.2,299538,4182140,7/24/01,Yes,No,8/23/16,No
70439,,24967,2496,YOSEMITE,12,268169,4212640,7/20/00,Yes,No,7/3/10,Yes
70441,,25378,2185,YOSEMITE,5.75,268975,4211350,7/9/00,Yes,No,7/9/00,No
70442,,25535,2256,YOSEMITE,8.5,254725,4217670,7/8/00,Yes,No,8/7/13,Yes
70449,"MATTIE LAKE, LITTLE",26088,2921,YOSEMITE,6.75,286576,4202330,6/26/00,Yes,Yes,8/29/17,Yes
70451,PARKER PASS LAKE,26253,3335,YOSEMITE,10.4,305415,4189820,8/4/01,Yes,No,8/4/01,No
70457,,26832,2292,YOSEMITE,8,263587,4210630,9/9/00,Yes,No,8/5/12,No
70458,,26850,2911,YOSEMITE,5,273431,4227880,8/8/00,Yes,No,8/8/00,No
70463,,27485,3097,YOSEMITE,9,286116,4173040,7/16/01,Yes,No,7/16/01,No
70466,,27578,3225,YOSEMITE,1.25,296168,4202610,9/12/00,Yes,No,9/12/00,No
70467,,27730,2614,YOSEMITE,5.25,267232,4213000,7/19/00,Yes,No,7/19/00,No
70470,WEGNER LAKE,28497,2806,YOSEMITE,9.5,276790,4191260,6/28/01,Yes,No,9/14/16,No
70472,,29009,2256,YOSEMITE,11.5,255149,4217730,7/9/00,Yes,Yes,8/7/13,Yes
70473,,29019,2916,YOSEMITE,22.1,280015,4193620,7/1/01,Yes,Yes,9/14/16,No
70474,"FLORENCE LAKE, LOWER",29140,3003,YOSEMITE,5.5,293430,4180590,8/26/01,Yes,Yes,8/6/14,No
70475,,29224,3432,YOSEMITE,21.1,298575,4182380,7/23/01,Yes,No,7/23/01,No
