"","coords.x1","coords.x2"
"1",-118.779712232774,37.2302045617559
"2",-118.77657923485,37.228304827293
"3",-118.754404132866,37.1682485260676
"4",-118.736970531744,37.2066304870257
"5",-118.689293212985,37.1984693679985
"6",-118.6980713834,37.1955047230807
"7",-118.690809342208,37.1866315983276
"8",-118.677826980798,37.1859058828522
"9",-118.695019403181,37.1678422336664
"10",-118.741481045787,37.165573055455
"11",-118.745577954015,37.1566529395944
"12",-118.723176895142,37.1495540766475
"13",-118.715777310417,37.1469755530347
"14",-118.718948354085,37.1438110613368
"15",-118.724721618081,37.140230090048
"16",-118.694170772871,37.1489989397655
"17",-118.676146470549,37.1572679613957
"18",-118.678742835055,37.1432968820739
"19",-118.6446997545,37.129948014682
"20",-118.72031301798,37.1285050215033
"21",-118.726567700689,37.1248628975784
"22",-118.692436411852,37.121191124239
"23",-118.663692187662,37.1192456398164
"24",-118.733623215343,37.1183605920217
"25",-118.735870798336,37.1088458920521
"26",-118.737016890278,37.1018709652285
"27",-118.738492406301,37.0945486923322
"28",-118.633213598613,37.0888892303292
"29",-118.634729103683,37.0793052423689
"30",-118.623905732331,37.0897832114572
"31",-118.624170032517,37.0932046428483
"32",-118.618697265948,37.0522508254984
"33",-118.618595540147,37.0485206833889
"34",-118.564428050004,37.0703929572315
"35",-118.560177042113,37.0715305691647
"36",-118.543675206442,37.0709533460228
"37",-118.548704980238,37.0937096878743
"38",-118.545985357916,37.0977471232321
"39",-118.550795434744,37.1024253342714
"40",-118.533929732851,37.085248901037
"41",-118.526096162507,37.0811587420364
"42",-118.50085302747,37.0755320555564
"43",-118.506859721389,37.010675845865
"44",-118.516482301705,37.0051000660862
"45",-118.524484032749,37.0152188785754
"46",-118.542507209878,37.0188166795653
"47",-118.540905060326,37.0307623419889
"48",-118.472811780947,37.0366928534801
"49",-118.492094449253,37.0269426095386
"50",-118.493692230383,37.0184047038621
"51",-118.49602440141,37.0152386055139
"52",-118.473818722403,37.0172380954354
"53",-118.471302733198,37.0214155651978
"54",-118.443119939078,37.0284768309664
"55",-118.441601205254,37.0183099240499
"56",-118.443278856711,37.015486296434
"57",-118.491818549671,36.9846544023754
"58",-118.488426713898,36.9818396724122
"59",-118.482908413513,36.9661168701251
"60",-118.490583332797,36.9645335009606
"61",-118.462219261194,36.9386113712703
"62",-118.424064169942,36.9664046831551
"63",-118.419065436608,36.9651936083647
"64",-118.419478553677,36.9475127599406
"65",-118.388408821839,36.9223891403259
"66",-118.407235095039,36.921734904461
"67",-118.440009524542,36.8317357284505
"68",-118.418365839715,36.8049000987183
"69",-118.433055926286,36.8003972778706
"70",-118.543675902091,36.9526420991796
"71",-118.452422620701,37.0523664374317
"72",-118.486090349913,37.0003468249166
"73",-118.428380478624,36.9996042729985
"74",-118.54620981546,36.5606955305902
"75",-118.484035453241,36.3696875669822
"76",-118.486463431595,36.3637258472922
"77",-118.482712193515,36.3528198524306
"78",-118.487858686913,36.3708569590876
"79",-118.8749153526,37.4477960776788
"80",-118.872960858974,37.4455739575862
"81",-118.797854442241,37.3153359449709
"82",-118.839355528435,37.3670615631608
"83",-118.8194761823,37.271834232656
"84",-118.836435804128,37.3816172806236
"85",-118.814937895772,37.2603675255801
"86",-118.858598451174,37.3973133243697
"87",-118.858227992789,37.391460976503
"88",-118.812219595376,37.3097091075139
"89",-118.811456642282,37.3080083692452
"90",-118.810855949926,37.3064853968578
"91",-118.821753543572,37.3162321013761
"92",-118.823537937338,37.2756472141138
"93",-118.816783579917,37.2564636987996
"94",-118.793160862744,37.2397896241197
"95",-118.796388469106,37.2413630073602
"96",-118.791241742027,37.2306255391503
"97",-118.793437137026,37.2319442360467
"98",-118.795324681847,37.2326366583425
"99",-118.796096731939,37.2333459784144
"100",-118.798003597428,37.2348492225932
"101",-118.797540500791,37.242877706873
"102",-118.749062349563,37.2822692262258
"103",-118.754210067211,37.2775964668152
"104",-118.705731369158,37.2739789332955
"105",-118.738944537727,37.2920621165328
"106",-118.692130143235,37.2739939239362
"107",-118.719188213684,37.3137113346851
"108",-118.712836473807,37.3112798628609
"109",-118.766051610828,37.4504648789658
"110",-118.72022629143,37.2408718926321
"111",-118.716050359879,37.2416535359398
"112",-118.748207730413,37.266779696116
"113",-118.721452792761,37.2957427823466
"114",-118.706489360879,37.3080368177699
"115",-118.734672207635,37.2804080768859
"116",-118.720408670739,37.2677278231263
"117",-118.729622498903,37.2923790047177
"118",-118.775045237681,37.4359099189626
"119",-118.740606563115,37.2819432590663
"120",-118.709876476705,37.3066359810239
"121",-118.707960062008,37.30621301765
"122",-118.796612761946,37.4577549206715
"123",-118.79120181963,37.4631545000626
"124",-118.804189631683,37.4616049765449
"125",-118.805236976295,37.4651939959122
"126",-118.783935538493,37.470925135909
"127",-118.782332843368,37.4691468151462
"128",-118.783134701527,37.4662506912198
"129",-118.735050609506,37.2860806487841
"130",-118.707558866707,37.2939612657972
"131",-118.72700456853,37.2661896939054
"132",-118.719624686261,37.286305823483
"133",-118.714057018004,37.2268109926358
"134",-118.713168562672,37.2726998280229
"135",-118.77871777722,37.4564034362003
"136",-118.755809126162,37.4069061367163
"137",-118.738464747321,37.3481289831715
"138",-118.754098722698,37.4149528230157
"139",-118.708640669674,37.4099407152905
"140",-118.757804448979,37.3472122161144
"141",-118.761513652007,37.3479681754377
"142",-118.752994123243,37.3995575068296
"143",-118.764032124315,37.3798357318237
"144",-118.706883686459,37.4460169887837
"145",-118.699409290926,37.438914558175
"146",-118.741986207334,37.434959870537
"147",-118.74254246862,37.4311663474369
